"Project ID","Project","Project Lead Agency","Project Lead Agency Bureau","Project Category","Project Status","Project Sector","Project Sector Type","Project Location Full Address","Project Location State","Project Location Street Address","Project Location County","Project Location City","Project Location Zipcode","Project Location Latlong","Project Location Latitude","Project Location Longitude"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
"104111","Brent Spence Bridge Corridor Project","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Cincinnati, OH, Hamiliton","OH","","Hamiliton","Cincinnati","","POINT (-84.522592 39.090403)","39.090403","-84.522592"
